Day,Chamber,Exp,NTR.start,NTR.end,step1.start,step1.end,step2.start,step2.end,step3.start,step3.end,step4.start,step4.end,step5.start,step5.end,step6.start,step6.end,step7.start,step7.end
1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
1,2,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
1,3,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
2,1,1,NA,NA,4/13/17 07:20,4/13/17 08:04,4/13/17 08:20,4/13/17 09:04,4/13/17 09:55,4/13/17 10:39,4/13/17 10:55,4/13/17 11:39,4/13/17 11:55,4/13/17 12:39,4/13/17 12:55,4/13/17 13:39,4/13/17 13:55,4/13/17 14:39
2,2,1,NA,NA,4/13/17 07:20,4/13/17 08:04,4/13/17 08:20,4/13/17 09:04,4/13/17 09:55,4/13/17 10:39,4/13/17 10:55,4/13/17 11:39,4/13/17 11:55,4/13/17 12:39,4/13/17 12:55,4/13/17 13:39,4/13/17 13:55,4/13/17 14:39
2,3,1,NA,NA,4/13/17 07:20,4/13/17 08:04,4/13/17 08:20,4/13/17 09:04,4/13/17 09:55,4/13/17 10:39,4/13/17 10:55,4/13/17 11:39,4/13/17 11:55,4/13/17 12:39,4/13/17 12:55,4/13/17 13:39,4/13/17 13:55,4/13/17 14:39
3,1,1,4/13/17 20:30,4/14/17 06:00,4/14/17 07:30,4/14/17 08:14,4/14/17 08:30,4/14/17 09:14,4/14/17 09:50,4/14/17 10:34,4/14/17 10:50,4/14/17 11:41,4/14/17 11:57,4/14/17 12:39,4/14/17 12:55,4/14/17 13:39,4/14/17 13:55,4/14/17 14:39
3,2,1,4/13/17 20:30,4/14/17 06:00,4/14/17 07:30,4/14/17 08:14,4/14/17 08:30,4/14/17 09:14,4/14/17 09:50,4/14/17 10:34,4/14/17 10:50,4/14/17 11:41,4/14/17 11:57,4/14/17 12:39,4/14/17 12:55,4/14/17 13:39,4/14/17 13:55,4/14/17 14:39
3,3,1,4/13/17 20:30,4/14/17 06:00,4/14/17 07:30,4/14/17 08:14,4/14/17 08:30,4/14/17 09:14,4/14/17 09:50,4/14/17 10:34,4/14/17 10:50,4/14/17 11:41,4/14/17 11:57,4/14/17 12:39,4/14/17 12:55,4/14/17 13:39,4/14/17 13:55,4/14/17 14:39
1,1,2,5/8/17 20:30,5/9/17 06:00,5/9/17 07:30,5/9/17 08:14,NA,NA,5/9/17 10:05,5/9/17 10:49,5/9/17 11:05,5/9/17 11:49,5/9/17 12:05,5/9/17 12:49,5/9/17 13:05,5/9/17 13:49,NA,NA
1,2,2,5/8/17 20:30,5/9/17 06:00,5/9/17 07:30,5/9/17 08:14,NA,NA,5/9/17 10:05,5/9/17 10:49,5/9/17 11:05,5/9/17 11:49,5/9/17 12:05,5/9/17 12:49,5/9/17 13:05,5/9/17 13:49,NA,NA
1,3,2,5/8/17 20:30,5/9/17 06:00,5/9/17 07:30,5/9/17 08:14,NA,NA,5/9/17 10:05,5/9/17 10:49,5/9/17 11:05,5/9/17 11:49,5/9/17 12:05,5/9/17 12:49,5/9/17 13:05,5/9/17 13:49,NA,NA
2,1,2,5/9/17 20:30,5/10/17 06:00,5/10/17 07:15,5/10/17 07:59,5/10/17 08:30,5/10/17 09:14,5/10/17 09:30,5/10/17 10:14,5/10/17 10:30,5/10/17 11:14,5/10/17 11:30,5/10/17 12:14,5/10/17 12:30,5/10/17 13:14,NA,NA
2,2,2,5/9/17 20:30,5/10/17 06:00,5/10/17 07:15,5/10/17 07:59,5/10/17 08:30,5/10/17 09:14,5/10/17 09:30,5/10/17 10:14,5/10/17 10:30,5/10/17 11:14,5/10/17 11:30,5/10/17 12:14,5/10/17 12:30,5/10/17 13:14,NA,NA
2,3,2,5/9/17 20:30,5/10/17 06:00,5/10/17 07:15,5/10/17 07:59,5/10/17 08:30,5/10/17 09:14,5/10/17 09:30,5/10/17 10:14,5/10/17 10:30,5/10/17 11:14,5/10/17 11:30,5/10/17 12:14,5/10/17 12:30,5/10/17 13:14,NA,NA